epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,189.303,0.68684,0.94912,1,0.14874,0.000369287,0.000369287,0.000369287
2,384.093,0.15838,0.97809,1,0.06016,0.000666398,0.000666398,0.000666398
3,580.215,0.12133,0.97456,1,0.06918,0.000890183,0.000890183,0.000890183
4,754.526,0.10343,0.9894,1,0.03563,0.000781033,0.000781033,0.000781033
5,929.601,0.07424,0.98375,1,0.04268,0.000671044,0.000671044,0.000671044
6,1098.06,0.06088,0.99505,1,0.01428,0.000561055,0.000561055,0.000561055
7,1281.91,0.05069,0.99011,1,0.02638,0.000451066,0.000451066,0.000451066
8,1465.57,0.04476,0.99364,1,0.0142,0.000341077,0.000341077,0.000341077
9,1640.09,0.03622,0.99576,1,0.01398,0.000231088,0.000231088,0.000231088
10,1822.63,0.02664,0.99647,1,0.00831,0.000121099,0.000121099,0.000121099
